BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;0;2965302861343;48;37;0x4000
0;0;2967606640031;99;71;0x4000
0;0;2971028506581;148;108;0x4000
0;0;2972622070912;114;106;0x4000
0;0;2989614120796;39;32;0x4000
0;0;2996946632553;55;52;0x4000
0;0;2996948522335;71;54;0x4000
0;0;2999640140592;69;60;0x4000
0;0;3002830337874;68;58;0x4000
0;0;3013420821038;113;100;0x4000
0;0;3028261999342;56;47;0x4000
0;0;3032198736105;234;206;0x4000
0;0;3033000832124;104;77;0x4000
0;0;3038066959982;70;39;0x4000
0;0;3044262995670;30;31;0x4000
0;0;3045386846991;69;59;0x4000
0;0;3049197507654;19;23;0x4000
0;0;3050571963155;48;42;0x4000
0;0;3052248681264;28;22;0x4000
0;0;3057135591428;384;354;0x4000
0;0;3059275178436;40;37;0x4000
0;0;3065866148843;66;44;0x4000
0;0;3067084458467;46;39;0x4000
0;0;3075682226171;398;326;0x4000
0;0;3092392405670;41;30;0x4000
0;0;3093468688248;114;109;0x4000
0;0;3094309583076;28;33;0x4000
0;0;3097509104906;39;28;0x4000
0;0;3097631278521;271;218;0x4000
0;0;3099298181404;103;85;0x4000
0;0;3103714020740;58;58;0x4000
0;0;3104647127358;33;28;0x4000
0;0;3106350601404;55;51;0x4000
0;0;3112169531280;47;42;0x4000
0;0;3115461855717;53;53;0x4000
0;0;3125587380905;220;195;0x4000
0;0;3126333462168;531;411;0x4000
0;0;3135771623389;81;74;0x4000
0;0;3141211676819;88;82;0x4000
0;0;3146153974103;155;126;0x4000
0;0;3156091993623;33;23;0x4000
0;0;3156672437201;21;24;0x4000
0;0;3160687607061;58;53;0x4000
0;0;3178115847131;67;52;0x4000
0;0;3180454540959;92;75;0x4000
0;0;3181848464092;124;95;0x4000
0;0;3182132059420;35;30;0x4000
0;0;3208199172811;152;120;0x4000
0;0;3227693006835;189;154;0x4000
0;0;3227755640018;169;145;0x4000
0;0;3228917751874;505;451;0x4000
0;0;3231761220273;96;84;0x4000
0;0;3234706684515;47;47;0x4000
0;0;3254890950069;119;104;0x4000
0;0;3259844367070;73;67;0x4000
0;0;3261871520741;280;238;0x4000
0;0;3276197902577;87;73;0x4000
0;0;3280082862593;360;303;0x4000
0;0;3287431587185;323;280;0x4000
0;0;3288623963482;69;50;0x4000
0;0;3289090967764;120;93;0x4000
0;0;3290205719358;29;31;0x4000
0;0;3292748389764;23;23;0x4000
0;0;3296626233889;57;53;0x4000
0;0;3300393482451;43;43;0x4000
0;0;3311259834819;274;251;0x4000
0;0;3320321613593;77;62;0x4000
0;0;3323861471467;78;48;0x4000
0;0;3331147191968;98;74;0x4000
0;0;3337874272912;164;128;0x4000
0;0;3340193410553;86;77;0x4000
